temperature_k,reduced_qfls,delta_mu_ev,integral_ipc_be,integral_ipc_mb,ln_integral_ipc_be,ln_integral_ipc_mb,mb_relative_error,mb_log_deviation,mb_valid
302.65,-12.0,1.1110356905854113,5.376075240561209e+19,5.376059024290035e+19,45.43107536564988,45.431072349268064,3.0163863715682027e-06,3.0163818180994895e-06,True
302.65,-11.976974951830444,1.11163619211038,5.501296089927832e+19,5.501279109432996e+19,45.454100484077706,45.454097397437614,3.0866448508248823e-06,3.0866400919649095e-06,True
302.65,-11.953949903660886,1.1122366936353485,5.629433622923544e+19,5.6294158421894636e+19,45.477125604142,45.47712244560718,3.158539816361383e-06,3.158534823910486e-06,True
302.65,-11.93092485549133,1.112837195160317,5.760555776300076e+19,5.760537157613858e+19,45.50015072588089,45.50014749377673,3.2321093865750328e-06,3.232104162975702e-06,True
302.65,-11.907899807321773,1.1134376966852857,5.894732069244079e+19,5.894712573115534e+19,45.523175849333384,45.52317254194629,3.307392566487266e-06,3.3073870966404684e-06,True
302.65,-11.884874759152217,1.1140381982102543,6.0320336402373026e+19,6.03201322531518e+19,45.54620097453939,45.546197590115845,3.384429271058309e-06,3.3844235431956804e-06,True
302.65,-11.861849710982659,1.114638699735223,6.172533284775556e+19,6.172511907759842e+19,45.56922610153975,45.5692226382854,3.46326034406097e-06,3.4632543446377895e-06,True
302.65,-11.838824662813103,1.1152392012601915,6.316305493966188e+19,6.316283109516263e+19,45.59225123037626,45.59224768645496,3.5439275816173677e-06,3.5439213021959404e-06,True
302.65,-11.815799614643545,1.11583970278516,6.463426494024818e+19,6.463403054663291e+19,45.615276361091695,45.61527273462452,3.626473752182946e-06,3.626467176331971e-06,True
302.65,-11.79277456647399,1.1164402043101287,6.613974286691991e+19,6.613949742703996e+19,45.638301493729806,45.638297782794076,3.710942621193425e-06,3.7109357293729772e-06,True
302.65,-11.769749518304431,1.1170407058350973,6.768028690591493e+19,6.768002989919244e+19,45.661326628335395,45.661322830963634,3.7973789739353947e-06,3.7973717610384483e-06,True
302.65,-11.746724470134875,1.1176412073600657,6.925671383551926e+19,6.925644471684305e+19,45.68435176495427,45.684347879133185,3.885828637528732e-06,3.885821087123986e-06,True
302.65,-11.723699421965318,1.1182417088850343,7.086985945914347e+19,7.086957765771282e+19,45.707376903633346,45.70737292730274,3.976338507349908e-06,3.976330603450151e-06,True
302.65,-11.700674373795762,1.1188422104100029,7.252057904848587e+19,7.252028396659982e+19,45.73040204442059,45.7303979754723,4.0689565719009835e-06,4.068948292967889e-06,True
302.65,-11.677649325626204,1.1194427119349715,7.420974779702087e+19,7.420943880881052e+19,45.753427187365126,45.75342302364186,4.163731936346338e-06,4.163723268391095e-06,True
302.65,-11.654624277456648,1.12004321345994,7.593826128404962e+19,7.593793773415068e+19,45.77645233251719,45.776448071811416,4.260714849380065e-06,4.260705772196616e-06,True
302.65,-11.63159922928709,1.1206437149849087,7.770703594956299e+19,7.770669715172565e+19,45.7994774799282,45.79947311998097,4.359956731647685e-06,4.359947226362237e-06,True
302.65,-11.608574181117534,1.1212442165098773,7.951700958016422e+19,7.951665481579769e+19,45.82250262965078,45.82249816815053,4.461510199949004e-06,4.461500246577543e-06,True
302.65,-11.585549132947977,1.1218447180348459,8.136914180631373e+19,8.136877032296202e+19,45.84552778173876,45.84552321632008,4.565429098102314e-06,4.565418677771049e-06,True
302.65,-11.56252408477842,1.1224452195598145,8.326441461115517e+19,8.326402562090118e+19,45.868552936247255,45.86854826448964,4.671768522923614e-06,4.671757615426486e-06,True
302.65,-11.539499036608863,1.123045721084783,8.520383285119717e+19,8.520342552899143e+19,45.89157809323263,45.8915733126592,4.780584855534897e-06,4.780573434004509e-06,True
302.65,-11.516473988439307,1.1236462226097514,8.718842478912212e+19,8.718799827103292e+19,45.91460325275258,45.914598360828755,4.891935790007906e-06,4.891923822469835e-06,True
302.65,-11.493448940269749,1.1242467241347203,8.921924263900999e+19,8.92187960203909e+19,45.93762841486615,45.93762340899831,5.005880363784243e-06,5.005867834029232e-06,True
302.65,-11.470423892100193,1.1248472256596886,9.129736312426062e+19,9.129689545783173e+19,45.96065357963374,45.96064845716787,5.122478990537971e-06,5.122465871920667e-06,True
302.65,-11.447398843930635,1.1254477271846572,9.3423888048516e+19,9.34233983423547e+19,45.98367874711718,45.98367350533743,5.241793490595725e-06,5.241779753362152e-06,True
302.65,-11.42437379576108,1.1260482287096258,9.55999448798802e+19,9.559943209531733e+19,46.006703917379724,46.00669855350698,5.363887123799316e-06,5.363872745078879e-06,True
302.65,-11.401348747591522,1.1266487302345944,9.782668734875181e+19,9.782615039816858e+19,46.0297290904861,46.02972360167654,5.488824624588773e-06,5.488809563303221e-06,True
302.65,-11.378323699421966,1.127249231759563,1.0010529605958105e+20,1.0010473380410216e+20,46.05275426650256,46.052748649846095,5.616672234420861e-06,5.616656466145287e-06,True
302.65,-11.355298651252408,1.1278497332845316,1.0243697911688107e+20,1.0243639036395912e+20,46.07577944549688,46.07577369801565,5.747497738406437e-06,5.747481225171214e-06,True
302.65,-11.332273603082852,1.1284502348095002,1.0482297276582024e+20,1.0482235626670635e+20,46.098804627538414,46.09879874618521,5.881370499949412e-06,5.881353203562867e-06,True
302.65,-11.309248554913294,1.1290507363344688,1.0726454204774097e+20,1.0726389649483602e+20,46.12182981269816,46.12182379435477,6.018361499382507e-06,6.018343391644976e-06,True
302.65,-11.286223506743738,1.1296512378594374,1.0976298147094656e+20,1.0976230549502794e+20,46.144855001048725,46.144848842524326,6.158543368384173e-06,6.158524399779708e-06,True
302.65,-11.26319845857418,1.130251739384406,1.1231961569711856e+20,1.1231890786443574e+20,46.167880192664455,46.16787389069388,6.301990433055238e-06,6.301970572053506e-06,True
302.65,-11.240173410404624,1.1308522409093746,1.1493580024372181e+20,1.1493505905295557e+20,46.19090538762139,46.19089893886344,6.448778748335826e-06,6.44875795074995e-06,True
302.65,-11.217148362235067,1.1314527424343432,1.1761292220277693e+20,1.1761214608185477e+20,46.21393058599737,46.213923987033,6.598986142414276e-06,6.598964368720317e-06,True
302.65,-11.19412331406551,1.1320532439593118,1.203524009763744e+20,1.2035158827913627e+20,46.236955787872006,46.23694903520255,6.752692255584947e-06,6.752669456489002e-06,True
302.65,-11.171098265895953,1.1326537454842804,1.2315568902932744e+20,1.2315483803203412e+20,46.25998099332682,46.25997408337211,6.9099785839910055e-06,6.909954713307798e-06,True
302.65,-11.148073217726397,1.133254247009249,1.2602427265935601e+20,1.2602338155703298e+20,46.283006202445186,46.282999131541665,7.070928521590858e-06,7.070903521366745e-06,True
302.65,-11.12504816955684,1.1338547485342176,1.2895967278521772e+20,1.2895873968782669e+20,46.306031415312454,46.30602417971122,7.235627405233203e-06,7.235601231059263e-06,True
302.65,-11.102023121387283,1.134455250059186,1.3196344575319618e+20,1.3196246868162639e+20,46.32905663201593,46.32904922788078,7.4041625588439075e-06,7.404135146771296e-06,True
302.65,-11.078998073217726,1.1350557515841546,1.3503718416238268e+20,1.3503616104425295e+20,46.35208185264498,46.35207427605034,7.5766233416096895e-06,7.576594640568146e-06,True
302.65,-11.05597302504817,1.1356562531091232,1.3818251770918065e+20,1.3818144637444386e+20,46.375107077291034,46.37509932421989,7.753101193275214e-06,7.753071145089052e-06,True
302.65,-11.032947976878614,1.1362567546340918,1.4140111405148928e+20,1.4139999222782953e+20,46.398132306047664,46.39812437238945,7.933689684769263e-06,7.933658217496031e-06,True
302.65,-11.009922928709056,1.1368572561590604,1.4469467969301797e+20,1.4469350500103101e+20,46.421157539010615,46.421149420559004,8.11848456461206e-06,8.118451610528155e-06,True
302.65,-10.986897880539498,1.137457757684029,1.480649608882041e+20,1.480637308363503e+20,46.44418277627787,46.44417446872856,8.307583814426422e-06,8.307549308028683e-06,True
302.65,-10.963872832369942,1.1380582592089976,1.515137445682146e+20,1.515124565475344e+20,46.46720801794968,46.46719951689812,8.501087696233256e-06,8.501051560472206e-06,True
302.65,-10.940847784200386,1.1386587607339662,1.5504285928852134e+20,1.5504151056710163e+20,46.49023326412865,46.49022456506768,8.699098807740668e-06,8.699060970229766e-06,True
302.65,-10.917822736030828,1.1392592622589348,1.586541761985537e+20,1.5865276391573298e+20,46.51325851491975,46.513249613237235,8.901722137411028e-06,8.901682512885145e-06,True
302.65,-10.89479768786127,1.1398597637839034,1.6234961003394128e+20,1.6234813119424224e+20,46.53628377043042,46.53627466140679,9.109065119305981e-06,9.109023629605417e-06,True
302.65,-10.871772639691715,1.1404602653088718,1.6613112013187642e+20,1.6612957159865228e+20,46.55930903077059,46.55929970957635,9.321237689707829e-06,9.321194241351805e-06,True
302.65,-10.848747591522159,1.1410607668338404,1.7000071147013344e+20,1.6999908995891508e+20,46.58233429605276,46.5823247577459,9.538352345073164e-06,9.538306855461087e-06,True
302.65,-10.825722543352601,1.141661268358809,1.7396043573029516e+20,1.739587378018243e+20,46.60535956639203,46.60534980591546,9.760524204205367e-06,9.760476572751031e-06,True
302.65,-10.802697495183045,1.1422617698837776,1.780123923857507e+20,1.780106144386853e+20,46.628384841906204,46.62837485408502,9.987871065986198e-06,9.98782118699637e-06,True
302.65,-10.779672447013487,1.1428622714087462,1.821587298150467e+20,1.821568680783221e+20,46.651410122715816,46.651399902254575,1.0220513474212822e-05,1.0220461241772227e-05,True
302.65,-10.756647398843931,1.1434627729337148,1.8640164644117407e+20,1.863996969660043e+20,46.67443540894422,46.67442495042413,1.0458574780436436e-05,1.045852008729753e-05,True
302.65,-10.733622350674374,1.1440632744586834,1.9074339189740506e+20,1.9074135054890736e+20,46.69746070071763,46.69744999859369,1.0702181209465422e-05,1.070212393727843e-05,True
302.65,-10.710597302504818,1.144663775983652,1.951862682202888e+20,1.95184130668713e+20,46.7204859981652,46.72047504676325,1.0951461927088957e-05,1.0951401954173434e-05,True
302.65,-10.68757225433526,1.1452642775086206,1.99732631070449e+20,1.997303927819941e+20,46.74351130141912,46.7435000949328,1.1206549107134478e-05,1.1206486320247677e-05,True
302.65,-10.664547206165704,1.1458647790335892,2.043848909818217e+20,2.0438254720901906e+20,46.76653661061461,46.766525143102356,1.146757800341014e-05,1.1467512251783774e-05,True
302.65,-10.641522157996146,1.1464652805585578,2.0914551464000533e+20,2.0914306041164903e+20,46.789561925890084,46.789550191271914,1.1734687019870904e-05,1.1734618169612077e-05,True
302.65,-10.61849710982659,1.1470657820835264,2.14017026190392e+20,2.140144563009947e+20,46.812587247387164,46.81257523944147,1.200801778411531e-05,1.200794569200525e-05,True
302.65,-10.595472061657032,1.147666283608495,2.1900200857678568e+20,2.18999317575537e+20,46.835612575250764,46.83560028761103,1.2287715224212903e-05,1.2287639734154254e-05,True
302.65,-10.572447013487476,1.1482667851334636,2.2410310491120435e+20,2.2410028709040954e+20,46.85863790962918,46.85862533578059,1.2573927643755312e-05,1.2573848593433468e-05,True
