delta_mu_ev,temperature_k_exp,p_th_exp_w_cm3,delta_mu_carrier_statistics_model,mu_e_mb_ev_at_exp_state,du_dt_intra_mb_w_cm3_at_exp_state,p_th_model_mb_w_cm3_at_exp_state,q_s_mb_cm1_at_exp_state,tau_c_lo_energy_mb_s_at_exp_state,mu_e_fd_ev_at_exp_state,du_dt_intra_fd_w_cm3_at_exp_state,p_th_model_fd_w_cm3_at_exp_state,q_s_fd_cm1_at_exp_state,tau_c_lo_energy_fd_s_at_exp_state,mu_e_ev_at_exp_state,du_dt_intra_w_cm3_at_exp_state,p_th_model_w_cm3_at_exp_state,q_s_cm1_at_exp_state,tau_c_lo_energy_s_at_exp_state
1.1211789929294846,298.913105657861,221446.40186494694,fd,0.5994185588816904,-175009.0128273578,175009.0128273578,172625.89770805437,8.706504581235285e-07,0.5994730243196994,-175285.97489572104,175285.97489572104,172808.5010434212,8.692747795967852e-07,0.5994730243196994,-175285.97489572104,175285.97489572104,172808.5010434212,8.692747795967852e-07
1.150046076176378,300.6573745397016,311526.3016335825,fd,0.6140786824916842,-881983.1105927816,881983.1105927816,232334.74631999762,5.681505166055485e-07,0.6141774297565896,-884278.4385790474,884278.4385790474,232777.92450437482,5.66675764169798e-07,0.6141774297565896,-884278.4385790474,884278.4385790474,232777.92450437482,5.66675764169798e-07
1.1680425302716708,302.49362798931793,403016.23448487435,fd,0.6233154403981619,-1971715.5963287593,1971715.5963287593,280997.86647040304,4.406699284785235e-07,0.6234600274762033,-1978746.808970329,1978746.808970329,281778.26377492317,4.3910406671296996e-07,0.6234600274762033,-1978746.808970329,1978746.808970329,281778.26377492317,4.3910406671296996e-07
1.190225628718771,305.0027446694208,597724.7234263867,fd,0.6347329259769235,-4170446.9479894415,4170446.9479894415,354819.19879382686,3.2909928949964003e-07,0.6349635296073415,-4192286.0384785705,4192286.0384785705,356379.1807473781,3.2738489570653446e-07,0.6349635296073415,-4192286.0384785705,4192286.0384785705,356379.1807473781,3.2738489570653446e-07
1.215178879324226,304.53876755884784,957308.8019020613,fd,0.6471492802649466,-5079740.630698538,5079740.630698538,448340.19011773437,2.518380479340965e-07,0.6475149374736988,-5118860.744091034,5118860.744091034,451474.55840304337,2.4991341401958747e-07,0.6475149374736988,-5118860.744091034,5118860.744091034,451474.55840304337,2.4991341401958747e-07
1.2345569914272607,304.3378691837163,1428675.191826193,fd,0.6568122394495157,-5982103.16933972,5982103.16933972,538505.5722329445,2.071047105757271e-07,0.6573358201124373,-6044160.231907881,6044160.231907881,543907.9422024707,2.0497830930752284e-07,0.6573358201124373,-6044160.231907881,6044160.231907881,543907.9422024707,2.0497830930752284e-07
1.2527823072388837,304.0666272079944,2151465.3545178324,fd,0.6658896627958313,-6795606.165483579,6795606.165483579,639606.7433964781,1.7429725846841883e-07,0.6666210267938486,-6888419.080708824,6888419.080708824,648595.6943061624,1.7194881879239416e-07,0.6666210267938486,-6888419.080708824,6888419.080708824,648595.6943061624,1.7194881879239416e-07
1.263069349060016,305.7860223893283,2911004.1579979286,fd,0.671256534578446,-9763404.573046897,9763404.573046897,712690.0043990869,1.5670314635340395e-07,0.6721602628022516,-9921151.15125252,9921151.15125252,725016.7091599696,1.5421156198436793e-07,0.6721602628022516,-9921151.15125252,9921151.15125252,725016.7091599696,1.5421156198436793e-07
1.2770024276084493,305.083264636796,4374501.588799623,fd,0.6781317850328666,-9954080.051231256,9954080.051231256,810335.3651256189,1.395079089970082e-07,0.6792855461701206,-10150091.91234115,10150091.91234115,828313.0179575935,1.3681382453765418e-07,0.6792855461701206,-10150091.91234115,10150091.91234115,828313.0179575935,1.3681382453765418e-07
1.2867313189621898,305.54290556845245,5578462.536826668,fd,0.6830559384511736,-11546276.664005209,11546276.664005209,890963.275565249,1.282724293222785e-07,0.6844375888834084,-11808271.751874266,11808271.751874266,914649.3318997547,1.25426395025504e-07,0.6844375888834084,-11808271.751874266,11808271.751874266,914649.3318997547,1.25426395025504e-07
1.3002870612929291,304.9232423005691,8870109.06458208,fd,0.6897533148397981,-11736330.913913084,11736330.913913084,1010418.9324814952,1.1558255312467402e-07,0.691499244435809,-12056183.069641264,12056183.069641264,1044551.4995242709,1.125161324699822e-07,0.691499244435809,-12056183.069641264,12056183.069641264,1044551.4995242709,1.125161324699822e-07
1.3238075386557273,309.78058592691553,18071200.887483712,fd,0.7021445265206342,-24612682.94084299,24612682.94084299,1287939.8159026087,9.486206765117898e-08,0.7048833949573365,-25540056.98594802,25540056.98594802,1355734.6884697685,9.141757183611079e-08,0.7048833949573365,-25540056.98594802,25540056.98594802,1355734.6884697685,9.141757183611079e-08
