mu_e_ev,temperature_k,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s
0.5394185588816904,280.0,341547.3825660762,0.0,41983.26590228085,
0.5394185588816904,285.0,285276.3774365433,0.0,44898.38392002326,
0.5394185588816904,290.0,202770.99771563246,0.0,47908.296450909365,
0.5394185588816904,295.0,89435.03148188934,0.0,51011.15186556652,
0.5394185588816904,300.0,-59655.49546898058,59655.49546898058,54205.02236983442,6.1956416932066286e-06
0.5394185588816904,305.0,-249729.64931440738,249729.64931440738,57487.91504499515,5.4937638361575205e-06
0.5394185588816904,310.0,-486294.50057828875,486294.50057828875,60857.78209869118,4.89237222155527e-06
0.5394185588816904,315.0,-775104.2030981772,775104.2030981772,64312.53035524485,4.374810577533142e-06
0.5394185588816904,320.0,-1122125.9502706046,1122125.9502706046,67850.0300170211,3.927512546477643e-06
0.5394185588816904,325.0,-1533503.6203361915,1533503.6203361915,71468.12273091209,3.539372108231616e-06
0.5394185588816904,330.0,-2015519.9909348781,2015519.9909348781,75164.62899507387,3.2012530069049765e-06
0.5394185588816904,335.0,-2574558.4340111837,2574558.4340111837,78937.35494175821,2.905604278636034e-06
0.5394185588816904,340.0,-3217064.9928777833,3217064.9928777833,82784.09853212304,2.646157257468011e-06
0.5394185588816904,345.0,-3949511.6942275926,3949511.6942275926,86702.6551985598,2.417685515539128e-06
0.5394185588816904,350.0,-4778361.862433672,4778361.862433672,90690.82296921221,2.2158136866757044e-06
0.5394185588816904,355.0,-5710038.08757057,5710038.08757057,94746.40710864808,2.036864464316443e-06
0.5394185588816904,360.0,-6750893.360308818,6750893.360308818,98867.2243071462,1.8777355656664828e-06
0.5394185588816904,365.0,-7907185.735552073,7907185.735552073,103051.10644999087,1.735800336739024e-06
0.5394185588816904,370.0,-9185056.732171807,9185056.732171807,107295.90399663344,1.608827098376458e-06
0.5394185588816904,375.0,-10590513.52769881,10590513.52769881,111599.4889982131,1.4949134184485686e-06
0.5394185588816904,380.0,-12129414.872309633,12129414.872309633,115959.75778020415,1.3924323258095952e-06
0.5394185588816904,385.0,-13807460.53199009,13807460.53199009,120374.63331588818,1.2999881202728244e-06
0.5394185588816904,390.0,-15630183.980279468,15630183.980279468,124842.06731423827,1.216379926484662e-06
0.5394185588816904,395.0,-17602947.993189003,17602947.993189003,129360.04204505976,1.140571522885167e-06
0.5394185588816904,400.0,-19730942.762403764,19730942.762403764,133926.5719222828,1.0716662759310967e-06
0.5394185588816904,405.0,-22019186.125699215,22019186.125699215,138539.7048650086,1.0088862439987863e-06
0.5394185588816904,410.0,-24472525.51740007,24472525.51740007,143197.52345502563,9.515546996777253e-07
0.5394185588816904,415.0,-27095641.26172598,27095641.26172598,147898.1459076361,8.990814647602338e-07
0.5394185588816904,420.0,-29893050.86378515,29893050.86378515,152639.72687190096,8.509505677177243e-07
0.5394185588816904,425.0,-32869113.99268777,32869113.99268777,157420.45807510702,8.067098254174889e-07
0.5394185588816904,430.0,-36028037.89506344,36028037.89506344,162238.56882525494,7.659620243499407e-07
0.5394185588816904,435.0,-39373883.022062354,39373883.022062354,167092.3263841788,7.283574356291011e-07
0.5394185588816904,440.0,-42910568.696254626,42910568.696254626,171980.0362234153,6.935874455452053e-07
0.5394185588816904,445.0,-46641878.68495981,46641878.68495981,176900.04217328026,6.613791218614425e-07
0.5394185588816904,450.0,-50571466.58228375,50571466.58228375,181850.72647586223,6.31490567213695e-07
0.5394185588816904,455.0,-54702860.932931185,54702860.932931185,186830.50975066188,6.037069363492501e-07
0.5394185588816904,460.0,-59039470.05651275,59039470.05651275,191837.85088194304,5.77837014675402e-07
0.5394185588816904,465.0,-63584586.55174869,63584586.55174869,196871.24683535474,5.537102725879235e-07
0.5394185588816904,470.0,-68341391.47605132,68341391.47605132,201929.23241149128,5.311743240316448e-07
0.5394185588816904,475.0,-73312958.20797399,73312958.20797399,207010.37994289695,5.100927292824846e-07
0.5394185588816904,480.0,-78502256.00852162,78502256.00852162,212113.29894065458,4.903430914890944e-07
0.5394185588816904,485.0,-83912153.30291003,83912153.30291003,217236.63569633407,4.7181540443854734e-07
0.5394185588816904,490.0,-89545420.70762305,89545420.70762305,222379.07284473476,4.5441061560837984e-07
0.5394185588816904,495.0,-95404733.82905097,95404733.82905097,227539.3288916347,4.380393740741291e-07
0.5394185588816904,500.0,-101492675.86005308,101492675.86005308,232716.15771147807,4.226209374494767e-07
0.5394185588816904,505.0,-107811739.99986444,107811739.99986444,237908.34801883565,4.0808221590127426e-07
0.5394185588816904,510.0,-114364331.72117147,114364331.72117147,243114.72281725853,3.9435693453134164e-07
0.5394185588816904,515.0,-121152770.90617143,121152770.90617143,248334.13882880856,3.81384898155075e-07
0.5394185588816904,520.0,-128179293.87118943,128179293.87118943,253565.4859077277,3.6911134481898457e-07
0.5394185588816904,525.0,-135446055.29713047,135446055.29713047,258807.68644041757,3.5748637635543693e-07
0.5394185588816904,530.0,-142955130.08076072,142955130.08076072,264059.694734954,3.464644559312487e-07
0.5394185588816904,535.0,-150708515.1196585,150708515.1196585,269320.4964019312,3.360039639551878e-07
0.5394185588816904,540.0,-158708131.04165816,158708131.04165816,274589.1077290485,3.2606680490782324e-07
0.5394185588816904,545.0,-166955823.88779455,166955823.88779455,279864.5750511361,3.1661805867853896e-07
0.5394185588816904,550.0,-175453366.75611627,175453366.75611627,285145.97411778034,3.076256708666046e-07
0.5394185588816904,555.0,-184202461.41232115,184202461.41232115,290432.40945939237,2.990601772489113e-07
0.5394185588816904,560.0,-193204739.87190813,193204739.87190813,295723.0137539928,2.908944582558358e-07
0.5394185588816904,565.0,-202461765.9574985,202461765.9574985,301016.947195185,2.8310351984469794e-07
0.5394185588816904,570.0,-211975036.8340674,211975036.8340674,306313.39686317166,2.7566429763123425e-07
0.5394185588816904,575.0,-221745984.52409086,221745984.52409086,311611.5760994094,2.6855548154476986e-07
0.5394185588816904,580.0,-231775977.40399602,231775977.40399602,316910.7238858707,2.61757358622082e-07
0.5394185588816904,585.0,-242066321.68280485,242066321.68280485,322210.10422978835,2.5525167185647184e-07
0.5394185588816904,590.0,-252618262.86345154,252618262.86345154,327509.00555507164,2.490214932792436e-07
0.5394185588816904,595.0,-263432987.1869768,263432987.1869768,332806.7400998251,2.4305110967640896e-07
0.5394185588816904,600.0,-274511623.0595125,274511623.0595125,338102.6433220517,2.373259195391617e-07
0.5394185588816904,605.0,-285855242.4618405,285855242.4618405,343396.07331297116,2.3183234001650052e-07
0.5394185588816904,610.0,-297464862.3411573,297464862.3411573,348686.41021868715,2.2655772278613007e-07
0.5394185588816904,615.0,-309341445.9845928,309341445.9845928,353973.0556709336,2.2149027788839865e-07
0.5394185588816904,620.0,-321485904.37400097,321485904.37400097,359255.4322264984,2.1661900468018504e-07
0.5394185588816904,625.0,-333899097.52148557,333899097.52148557,364532.982816367,2.1193362916362324e-07
