delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0611789929294846,280.0,0.5669893480674602,991943.1800584715,0.0,74825.87036893079,,fd
1.0611789929294846,285.0,0.5676408417837429,825122.1400100556,0.0,80284.03986529852,,fd
1.0611789929294846,290.0,0.5682925386217378,583509.2193417451,0.0,85938.32251315928,,fd
1.0611789929294846,295.0,0.5689444544647969,255820.82428393242,0.0,91785.94263233918,,fd
1.0611789929294846,300.0,0.5695966053167016,-169469.15904010375,169469.15904010375,97823.93804989562,2.1809261686077586e-06,fd
1.0611789929294846,305.0,0.5702490080214174,-704013.1232128831,704013.1232128831,104049.1841729847,1.9487414642927305e-06,fd
1.0611789929294846,310.0,0.5709016794905344,-1359486.4398896669,1359486.4398896669,110458.41395573337,1.7500032567555868e-06,fd
1.0611789929294846,315.0,0.5715546367917551,-2147500.1402446055,2147500.1402446055,117048.2379367805,1.578996006772918e-06,fd
1.0611789929294846,320.0,0.5722078974350643,-3079530.9904804896,3079530.9904804896,123815.16341634713,1.4310983970835271e-06,fd
1.0611789929294846,325.0,0.5728398255657332,-4164266.351172278,4164266.351172278,130705.07306773927,1.3033690897899943e-06,fd
1.0611789929294846,330.0,0.5734932345728893,-5417213.9711892195,5417213.9711892195,137812.21284498688,1.1910390666031526e-06,fd
1.0611789929294846,335.0,0.5741469824982239,-6847249.5526904175,6847249.5526904175,145085.3780984244,1.092491207827549e-06,fd
1.0611789929294846,340.0,0.574801086812982,-8464924.767497249,8464924.767497249,152520.8156895252,1.0056509529866542e-06,fd
1.0611789929294846,345.0,0.575455564627499,-10280526.859640114,10280526.859640114,160114.74112131962,9.288011143145791e-07,fd
1.0611789929294846,350.0,0.5761104333195095,-12304080.348452456,12304080.348452456,167863.3514954562,8.605141275138631e-07,fd
1.0611789929294846,355.0,0.5767657102532547,-14545352.268494574,14545352.268494574,175762.8352097013,7.995981487863565e-07,fd
1.0611789929294846,360.0,0.5774214124985889,-17013859.35785155,17013859.35785155,183809.3805747761,7.450539622328819e-07,fd
1.0611789929294846,365.0,0.5780775572204252,-19718876.23789934,19718876.23789934,191999.18545381175,6.960403784271468e-07,fd
1.0611789929294846,370.0,0.5787341617771515,-22669443.482485615,22669443.482485615,200328.4653804379,6.518463594065567e-07,fd
1.0611789929294846,375.0,0.5793912428135403,-25874374.549089737,25874374.549089737,208793.45771767176,6.118684865881451e-07,fd
1.0611789929294846,380.0,0.5800488172151443,-29342262.684737276,29342262.684737276,217390.4308002783,5.755926429153109e-07,fd
