spectrum_id,intensity_w_cm2,delta_mu_ev,temperature_k_exp,p_th_exp_w_cm3,carrier_density_exp_cm3,delta_mu_carrier_statistics_model,carrier_density_exp_mb_cm3,carrier_density_exp_fd_cm3,mu_e_exp_ev,mu_e_exp_mb_ev,mu_e_exp_fd_ev,temperature_sim_k,temperature_error_k,temperature_abs_error_k,temperature_error_pct,temperature_rise_exp_k,temperature_rise_sim_k,carrier_density_sim_cm3,mu_e_sim_ev,carrier_density_sim_mb_cm3,mu_e_sim_mb_ev,carrier_density_sim_fd_cm3,mu_e_sim_fd_ev,temperature_sim_fd_k,temperature_error_fd_k,temperature_rise_sim_fd_k,temperature_sim_mb_k,temperature_error_mb_k,temperature_rise_sim_mb_k
0,94.5839419,1.1211789929294846,298.913105657861,221446.4018649469,5451626377039020.0,fd,5472147464667602.0,5451626377039020.0,0.5994730243196994,0.5994185588816904,0.5994730243196994,300.05582703747456,1.1427213796135334,1.1427213796135334,0.38229216383757486,0.7631056578610469,1.9058270374745803,5606747325870131.0,0.5996229074699481,5628148784644709.0,0.599566999344602,5606747325870131.0,0.5996229074699481,300.05582703747456,1.1427213796135334,1.9058270374745803,300.0563066514891,1.1432009936280565,1.9063066514891034
1,133.106541,1.150046076176378,300.6573745397016,311526.3016335825,9914170998677768.0,fd,9970136985113872.0,9914170998677768.0,0.6141774297565896,0.6140786824916842,0.6141774297565896,300.07089684321994,-0.5864776964816656,0.5864776964816656,-0.19506512932854125,2.5073745397016296,1.920896843219964,9783978977245212.0,0.6141000445558764,9838786640799734.0,0.6140024985484185,9783978977245212.0,0.6141000445558764,300.07089684321994,-0.5864776964816656,1.920896843219964,300.07014534529077,-0.5872291944108383,1.9201453452907913
2,172.255523,1.1680425302716708,302.493627989318,403016.2344848744,1.4562870923276634e+16,fd,1.4673145058755622e+16,1.456287092327664e+16,0.6234600274762033,0.6233154403981619,0.6234600274762033,300.143918488658,-2.3497095006599693,2.3497095006599693,-0.7767798337699018,4.3436279893180085,1.9939184886580392,1.3853968633155564e+16,0.6231482997294879,1.3955674500162222e+16,0.6230102111688779,1.3853968633155564e+16,0.6231482997294879,300.143918488658,-2.3497095006599693,1.9939184886580392,300.14402760101217,-2.3496003883058165,1.994027601012192
3,255.564558,1.190225628718771,305.0027446694208,597724.7234263867,2.332901725156594e+16,fd,2.3589509176854496e+16,2.332901725156594e+16,0.6349635296073415,0.6347329259769235,0.6349635296073415,300.0383507833175,-4.964393886103267,4.964393886103267,-1.6276554794560807,6.852744669420815,1.8883507833175486,2.116140520587436e+16,0.6342989586898929,2.1383145068019076e+16,0.6340880470592141,2.116140520587436e+16,0.6342989586898929,300.0383507833175,-4.964393886103267,1.8883507833175486,300.0259554149791,-4.976789254441712,1.875955414979103
4,409.02857,1.215178879324226,304.53876755884784,957308.8019020612,3.697975383708336e+16,fd,3.760614918122745e+16,3.697975383708336e+16,0.6475149374736988,0.6471492802649466,0.6475149374736988,300.0394161371856,-4.499351421662254,4.499351421662254,-1.4774314146368304,6.38876755884786,1.8894161371856057,3.409866131742839e+16,0.6469045212322702,3.464586525381802e+16,0.6465648107523001,3.409866131742839e+16,0.6469045212322702,300.0394161371856,-4.499351421662254,1.8894161371856057,300.0382389136605,-4.50052864518733,1.8882389136605298
5,610.097744,1.2345569914272607,304.3378691837163,1428675.191826193,5.296053485921451e+16,fd,5.4217231088737816e+16,5.296053485921451e+16,0.6573358201124373,0.6568122394495157,0.6573358201124373,300.0311957908652,-4.30667339285111,4.30667339285111,-1.4150961247124154,6.187869183716316,1.8811957908652062,4.927485156528115e+16,0.6567434668861349,5.038921199728766e+16,0.6562527989739555,4.927485156528115e+16,0.6567434668861349,300.0311957908652,-4.30667339285111,1.8811957908652062,300.0232423159972,-4.314626867719085,1.8732423159972313
6,918.278535,1.2527823072388835,304.0666272079944,2151465.3545178324,7.399487847409206e+16,fd,7.641801632323704e+16,7.39948784740918e+16,0.6666210267938486,0.6658896627958313,0.6666210267938485,300.1234610278446,-3.943166180149774,3.943166180149774,-1.2968099183908408,5.916627207994395,1.9734610278446212,6.959862231419419e+16,0.6660699247503549,7.178768450101258e+16,0.6653774422112153,6.959862231419419e+16,0.6660699247503549,300.1234610278446,-3.943166180149774,1.9734610278446212,300.17196933784265,-3.8946578701517183,2.021969337842677
7,1242.7453,1.263069349060016,305.7860223893283,2911004.157997929,9.174146707706606e+16,fd,9.54157131683797e+16,9.174146707706606e+16,0.6721602628022516,0.671256534578446,0.6721602628022516,300.8809187558401,-4.9051036334881815,4.9051036334881815,-1.604096745548094,7.636022389328332,2.7309187558401504,8.534531986734765e+16,0.671467019035152,8.860646391988314e+16,0.6706193575141378,8.534531986734765e+16,0.671467019035152,300.8809187558401,-4.9051036334881815,2.7309187558401504,300.93805270654434,-4.847969682783969,2.788052706544363
8,1866.62349,1.2770024276084493,305.083264636796,4374501.588799623,1.1708401869384952e+17,fd,1.2306906653636227e+17,1.1708401869384952e+17,0.6792855461701206,0.6781317850328666,0.6792855461701206,301.9209287143726,-3.162335922423381,3.162335922423381,-1.036548473475976,6.933264636796025,3.770928714372644,1.1209097001490291e+17,0.678831437233168,1.1766412240112502e+17,0.6777209949517663,1.1209097001490291e+17,0.678831437233168,301.9209287143726,-3.162335922423381,3.770928714372644,301.9917370179991,-3.0915276187968743,3.841737017999151
9,2380.25814,1.2867313189621898,305.54290556845245,5578462.536826668,1.404181917667703e+17,fd,1.4900222246933536e+17,1.404181917667703e+17,0.6844375888834084,0.6830559384511736,0.6844375888834084,302.50841545049957,-3.0344901179528847,3.0344901179528847,-0.993146973027345,7.392905568452477,4.358415450499592,1.3495137495987394e+17,0.6839964030679416,1.4299950619589995e+17,0.6826617556469962,1.3495137495987394e+17,0.6839964030679416,302.50841545049957,-3.0344901179528847,4.358415450499592,302.590234653137,-2.9526709153154798,4.440234653136997
10,3783.35768,1.3002870612929291,304.9232423005691,8870109.06458208,1.774704155237533e+17,fd,1.912469045983262e+17,1.774704155237533e+17,0.691499244435809,0.6897533148397981,0.691499244435809,303.81261415084356,-1.1106281497255281,1.1106281497255281,-0.3642320412658997,6.773242300569109,5.662614150843581,1.7509134811564307e+17,0.6913347907225347,1.8857318196811702e+17,0.6896090433142897,1.7509134811564307e+17,0.6913347907225347,303.81261415084356,-1.1106281497255281,5.662614150843581,303.9122358843035,-1.011006416265559,5.76223588430355
11,7717.15161,1.323807538655727,309.78058592691553,18071200.887483712,2.814713634467652e+17,fd,3.156794207374689e+17,2.8147136344676438e+17,0.7048833949573365,0.7021445265206341,0.7048833949573365,306.8253031212412,-2.955282805674358,2.955282805674358,-0.9539922577238517,11.630585926915558,8.6753031212412,2.729776350195365e+17,0.7044299855505197,3.055988563788529e+17,0.7017606328125656,2.729776350195365e+17,0.7044299855505197,306.8253031212412,-2.955282805674358,8.6753031212412,307.1428112479632,-2.6377746789523258,8.992811247963232
